Name;Size;Time;MemoryUsage;Error
FIDAP/ex15;6867;0.02569;2715648;6.3858e-07
MaxPlanck/shallow_water1;81920;0.13328;45551616;2.3773e-16
GHS_psdef/apache2;715176;4.6641;1979957248;4.3926e-11
Wissgott/parabolic_fem;525825;1.5097;543617024;1.0498e-12
AMD/G3_circuit;1585478;6.535;2354110464;3.5748e-12
Rothberg/cfd1;70656;0.85566;420569088;1.0941e-13
Rothberg/cfd2;123440;1.7265;825040896;3.9662e-13
Janna/StocF-1465;1465137;N/A;N/A;N/A
Janna/Flan_1565;1564794;N/A;N/A;N/A
